Administrative Counties,age,Both sexes,female,male
Carlow County Council,-1,61968,31146,30822
Carlow County Council,1,1348,655,693
Carlow County Council,2,689,334,355
Carlow County Council,3,754,378,376
Carlow County Council,4,745,369,376
Carlow County Council,5,749,365,384
Carlow County Council,6,750,367,383
Carlow County Council,7,889,455,434
Carlow County Council,8,819,404,415
Carlow County Council,9,882,435,447
Carlow County Council,10,921,446,475
Carlow County Council,11,964,450,514
Carlow County Council,12,908,467,441
Carlow County Council,13,943,459,484
Carlow County Council,14,951,465,486
Carlow County Council,15,843,411,432
Carlow County Council,16,873,442,431
Carlow County Council,17,877,414,463
Carlow County Council,18,903,466,437
Carlow County Council,19,827,381,446
Carlow County Council,20,810,366,444
Carlow County Council,21,813,381,432
Carlow County Council,22,769,361,408
Carlow County Council,23,720,344,376
Carlow County Council,24,669,329,340
Carlow County Council,25,625,295,330
Carlow County Council,26,663,333,330
Carlow County Council,27,658,309,349
Carlow County Council,28,633,329,304
Carlow County Council,29,713,360,353
Carlow County Council,30,705,338,367
Carlow County Council,31,739,390,349
Carlow County Council,32,746,384,362
Carlow County Council,33,750,384,366
Carlow County Council,34,774,414,360
Carlow County Council,35,833,446,387
Carlow County Council,36,835,438,397
Carlow County Council,37,908,457,451
Carlow County Council,38,948,483,465
Carlow County Council,39,1006,553,453
Carlow County Council,40,981,487,494
Carlow County Council,41,1024,537,487
Carlow County Council,42,1045,517,528
Carlow County Council,43,950,463,487
Carlow County Council,44,907,459,448
Carlow County Council,45,945,498,447
Carlow County Council,46,949,486,463
Carlow County Council,47,871,418,453
Carlow County Council,48,841,430,411
Carlow County Council,49,946,493,453
Carlow County Council,50,897,454,443
Carlow County Council,51,815,436,379
Carlow County Council,52,823,403,420
Carlow County Council,53,785,385,400
Carlow County Council,54,805,382,423
Carlow County Council,55,804,392,412
Carlow County Council,56,795,418,377
Carlow County Council,57,740,385,355
Carlow County Council,58,724,368,356
Carlow County Council,59,743,360,383
Carlow County Council,60,673,317,356
Carlow County Council,61,684,350,334
Carlow County Council,62,713,380,333
Carlow County Council,63,642,316,326
Carlow County Council,64,610,323,287
Carlow County Council,65,628,306,322
Carlow County Council,66,569,286,283
Carlow County Council,67,562,291,271
Carlow County Council,68,565,274,291
Carlow County Council,69,587,311,276
Carlow County Council,70,522,245,277
Carlow County Council,71,497,259,238
Carlow County Council,72,526,278,248
Carlow County Council,73,461,228,233
Carlow County Council,74,475,229,246
Carlow County Council,75,404,197,207
Carlow County Council,76,412,211,201
Carlow County Council,77,372,188,184
Carlow County Council,78,312,156,156
Carlow County Council,79,339,171,168
Carlow County Council,80,279,163,116
Carlow County Council,81,265,148,117
Carlow County Council,82,240,131,109
Carlow County Council,83,203,102,101
Carlow County Council,84,198,111,87
Carlow County Council,85,141,77,64
Carlow County Council,86,159,86,73
Carlow County Council,87,119,62,57
Carlow County Council,88,105,68,37
Carlow County Council,89,86,54,32
Carlow County Council,90,65,48,17
Carlow County Council,91,72,45,27
Carlow County Council,92,38,24,14
Carlow County Council,93,26,22,4
Carlow County Council,94,24,18,6
Carlow County Council,95,14,12,2
Carlow County Council,96,11,8,3
Carlow County Council,97,11,9,2
Carlow County Council,98,7,5,2
Carlow County Council,99,7,6,1
Carlow County Council,100,3,3,0
Cavan County Council,-1,81704,40644,41060
Cavan County Council,1,2010,978,1032
Cavan County Council,2,1061,520,541
Cavan County Council,3,1085,525,560
Cavan County Council,4,1047,492,555
Cavan County Council,5,1143,544,599
Cavan County Council,6,1176,591,585
Cavan County Council,7,1162,555,607
Cavan County Council,8,1217,615,602
Cavan County Council,9,1289,602,687
Cavan County Council,10,1312,661,651
Cavan County Council,11,1328,624,704
Cavan County Council,12,1317,672,645
Cavan County Council,13,1343,634,709
Cavan County Council,14,1262,621,641
Cavan County Council,15,1271,643,628
Cavan County Council,16,1161,550,611
Cavan County Council,17,1186,590,596
Cavan County Council,18,1107,533,574
Cavan County Council,19,915,436,479
Cavan County Council,20,843,388,455
Cavan County Council,21,832,390,442
Cavan County Council,22,855,414,441
Cavan County Council,23,875,439,436
Cavan County Council,24,827,398,429
Cavan County Council,25,841,403,438
Cavan County Council,26,777,375,402
Cavan County Council,27,750,370,380
Cavan County Council,28,752,363,389
Cavan County Council,29,791,401,390
Cavan County Council,30,841,425,416
Cavan County Council,31,907,457,450
Cavan County Council,32,996,530,466
Cavan County Council,33,955,489,466
Cavan County Council,34,988,513,475
Cavan County Council,35,1079,560,519
Cavan County Council,36,1151,602,549
Cavan County Council,37,1182,604,578
Cavan County Council,38,1267,684,583
Cavan County Council,39,1297,656,641
Cavan County Council,40,1263,630,633
Cavan County Council,41,1332,702,630
Cavan County Council,42,1280,656,624
Cavan County Council,43,1243,611,632
Cavan County Council,44,1216,630,586
Cavan County Council,45,1125,587,538
Cavan County Council,46,1152,565,587
Cavan County Council,47,1158,570,588
Cavan County Council,48,1161,599,562
Cavan County Council,49,1093,538,555
Cavan County Council,50,1160,556,604
Cavan County Council,51,1117,580,537
Cavan County Council,52,1110,553,557
Cavan County Council,53,1044,491,553
Cavan County Council,54,1053,515,538
Cavan County Council,55,1053,511,542
Cavan County Council,56,1038,488,550
Cavan County Council,57,991,476,515
Cavan County Council,58,964,496,468
Cavan County Council,59,995,480,515
Cavan County Council,60,946,468,478
Cavan County Council,61,925,461,464
Cavan County Council,62,918,445,473
Cavan County Council,63,826,406,420
Cavan County Council,64,842,412,430
Cavan County Council,65,863,406,457
Cavan County Council,66,807,424,383
Cavan County Council,67,793,374,419
Cavan County Council,68,774,393,381
Cavan County Council,69,722,364,358
Cavan County Council,70,678,330,348
Cavan County Council,71,680,340,340
Cavan County Council,72,689,326,363
Cavan County Council,73,629,307,322
Cavan County Council,74,596,288,308
Cavan County Council,75,582,295,287
Cavan County Council,76,514,260,254
Cavan County Council,77,482,258,224
Cavan County Council,78,433,217,216
Cavan County Council,79,388,191,197
Cavan County Council,80,332,157,175
Cavan County Council,81,319,152,167
Cavan County Council,82,273,146,127
Cavan County Council,83,280,144,136
Cavan County Council,84,252,145,107
Cavan County Council,85,245,137,108
Cavan County Council,86,226,128,98
Cavan County Council,87,182,107,75
Cavan County Council,88,188,105,83
Cavan County Council,89,134,79,55
Cavan County Council,90,96,57,39
Cavan County Council,91,98,62,36
Cavan County Council,92,67,52,15
Cavan County Council,93,50,35,15
Cavan County Council,94,32,20,12
Cavan County Council,95,29,21,8
Cavan County Council,96,23,16,7
Cavan County Council,97,13,10,3
Cavan County Council,98,8,7,1
Cavan County Council,99,6,6,0
Cavan County Council,100,18,12,6
Clare County Council,-1,127938,65021,62917
Clare County Council,1,2737,1395,1342
Clare County Council,2,1473,744,729
Clare County Council,3,1468,745,723
Clare County Council,4,1505,766,739
Clare County Council,5,1620,799,821
Clare County Council,6,1656,789,867
Clare County Council,7,1663,805,858
Clare County Council,8,1670,801,869
Clare County Council,9,1806,873,933
Clare County Council,10,1874,960,914
Clare County Council,11,1821,913,908
Clare County Council,12,1983,999,984
Clare County Council,13,1874,914,960
Clare County Council,14,1848,894,954
Clare County Council,15,1888,907,981
Clare County Council,16,1850,947,903
Clare County Council,17,1844,890,954
Clare County Council,18,1690,830,860
Clare County Council,19,1650,821,829
Clare County Council,20,1567,739,828
Clare County Council,21,1352,697,655
Clare County Council,22,1503,728,775
Clare County Council,23,1281,649,632
Clare County Council,24,1255,606,649
Clare County Council,25,1258,631,627
Clare County Council,26,1179,593,586
Clare County Council,27,1180,587,593
Clare County Council,28,1187,607,580
Clare County Council,29,1188,583,605
Clare County Council,30,1209,627,582
Clare County Council,31,1331,708,623
Clare County Council,32,1330,688,642
Clare County Council,33,1338,695,643
Clare County Council,34,1455,741,714
Clare County Council,35,1516,787,729
Clare County Council,36,1593,828,765
Clare County Council,37,1711,923,788
Clare County Council,38,1818,955,863
Clare County Council,39,1774,945,829
Clare County Council,40,1906,999,907
Clare County Council,41,1983,1057,926
Clare County Council,42,2029,1060,969
Clare County Council,43,1881,989,892
Clare County Council,44,1871,987,884
Clare County Council,45,1876,940,936
Clare County Council,46,1952,1050,902
Clare County Council,47,1795,913,882
Clare County Council,48,1920,962,958
Clare County Council,49,1923,982,941
Clare County Council,50,1979,1033,946
Clare County Council,51,1827,911,916
Clare County Council,52,1895,976,919
Clare County Council,53,1743,870,873
Clare County Council,54,1770,920,850
Clare County Council,55,1758,891,867
Clare County Council,56,1739,911,828
Clare County Council,57,1648,824,824
Clare County Council,58,1689,848,841
Clare County Council,59,1620,823,797
Clare County Council,60,1540,757,783
Clare County Council,61,1493,737,756
Clare County Council,62,1492,738,754
Clare County Council,63,1576,794,782
Clare County Council,64,1431,719,712
Clare County Council,65,1341,650,691
Clare County Council,66,1351,704,647
Clare County Council,67,1361,689,672
Clare County Council,68,1285,648,637
Clare County Council,69,1289,616,673
Clare County Council,70,1230,626,604
Clare County Council,71,1191,595,596
Clare County Council,72,1241,636,605
Clare County Council,73,1113,571,542
Clare County Council,74,1076,536,540
Clare County Council,75,1058,551,507
Clare County Council,76,976,498,478
Clare County Council,77,894,452,442
Clare County Council,78,793,377,416
Clare County Council,79,693,379,314
Clare County Council,80,594,299,295
Clare County Council,81,583,312,271
Clare County Council,82,526,287,239
Clare County Council,83,476,254,222
Clare County Council,84,394,207,187
Clare County Council,85,376,202,174
Clare County Council,86,355,197,158
Clare County Council,87,283,170,113
Clare County Council,88,258,144,114
Clare County Council,89,207,132,75
Clare County Council,90,174,106,68
Clare County Council,91,138,89,49
Clare County Council,92,99,71,28
Clare County Council,93,78,58,20
Clare County Council,94,54,40,14
Clare County Council,95,51,38,13
Clare County Council,96,40,28,12
Clare County Council,97,31,20,11
Clare County Council,98,15,12,3
Clare County Council,99,14,11,3
Clare County Council,100,19,16,3
Cork City Council,-1,224004,114268,109736
Cork City Council,1,4567,2260,2307
Cork City Council,2,2306,1162,1144
Cork City Council,3,2294,1106,1188
Cork City Council,4,2243,1101,1142
Cork City Council,5,2362,1186,1176
Cork City Council,6,2496,1228,1268
Cork City Council,7,2564,1195,1369
Cork City Council,8,2516,1246,1270
Cork City Council,9,2617,1271,1346
Cork City Council,10,2580,1285,1295
Cork City Council,11,2695,1302,1393
Cork City Council,12,2690,1334,1356
Cork City Council,13,2594,1302,1292
Cork City Council,14,2541,1270,1271
Cork City Council,15,2551,1228,1323
Cork City Council,16,2421,1202,1219
Cork City Council,17,2447,1222,1225
Cork City Council,18,2648,1288,1360
Cork City Council,19,3405,1731,1674
Cork City Council,20,3541,1889,1652
Cork City Council,21,3518,1851,1667
Cork City Council,22,3677,1835,1842
Cork City Council,23,3500,1779,1721
Cork City Council,24,3417,1730,1687
Cork City Council,25,3512,1733,1779
Cork City Council,26,3390,1633,1757
Cork City Council,27,3461,1759,1702
Cork City Council,28,3461,1749,1712
Cork City Council,29,3467,1750,1717
Cork City Council,30,3437,1734,1703
Cork City Council,31,3581,1814,1767
Cork City Council,32,3564,1837,1727
Cork City Council,33,3338,1705,1633
Cork City Council,34,3410,1774,1636
Cork City Council,35,3467,1780,1687
Cork City Council,36,3461,1760,1701
Cork City Council,37,3631,1872,1759
Cork City Council,38,3465,1737,1728
Cork City Council,39,3579,1858,1721
Cork City Council,40,3629,1879,1750
Cork City Council,41,3561,1834,1727
Cork City Council,42,3435,1688,1747
Cork City Council,43,3287,1649,1638
Cork City Council,44,3103,1568,1535
Cork City Council,45,3078,1583,1495
Cork City Council,46,3035,1515,1520
Cork City Council,47,2969,1468,1501
Cork City Council,48,2811,1417,1394
Cork City Council,49,2842,1376,1466
Cork City Council,50,2894,1470,1424
Cork City Council,51,2760,1388,1372
Cork City Council,52,2732,1392,1340
Cork City Council,53,2525,1262,1263
Cork City Council,54,2606,1301,1305
Cork City Council,55,2549,1271,1278
Cork City Council,56,2620,1334,1286
Cork City Council,57,2648,1366,1282
Cork City Council,58,2686,1369,1317
Cork City Council,59,2639,1354,1285
Cork City Council,60,2604,1327,1277
Cork City Council,61,2466,1310,1156
Cork City Council,62,2364,1244,1120
Cork City Council,63,2259,1167,1092
Cork City Council,64,2216,1147,1069
Cork City Council,65,2125,1064,1061
Cork City Council,66,1960,1045,915
Cork City Council,67,1928,952,976
Cork City Council,68,1830,944,886
Cork City Council,69,1871,983,888
Cork City Council,70,1791,901,890
Cork City Council,71,1722,909,813
Cork City Council,72,1718,874,844
Cork City Council,73,1601,842,759
Cork City Council,74,1572,859,713
Cork City Council,75,1518,766,752
Cork City Council,76,1483,786,697
Cork City Council,77,1358,729,629
Cork City Council,78,1197,667,530
Cork City Council,79,1142,665,477
Cork City Council,80,1103,587,516
Cork City Council,81,943,522,421
Cork City Council,82,963,570,393
Cork City Council,83,844,512,332
Cork City Council,84,750,441,309
Cork City Council,85,653,401,252
Cork City Council,86,614,378,236
Cork City Council,87,528,309,219
Cork City Council,88,454,291,163
Cork City Council,89,365,232,133
Cork City Council,90,335,222,113
Cork City Council,91,272,177,95
Cork City Council,92,177,117,60
Cork City Council,93,149,111,38
Cork City Council,94,79,62,17
Cork City Council,95,61,42,19
Cork City Council,96,54,43,11
Cork City Council,97,39,28,11
Cork City Council,98,23,20,3
Cork City Council,99,24,20,4
Cork City Council,100,26,20,6
Cork County Council,-1,360152,181043,179109
Cork County Council,1,8305,4100,4205
Cork County Council,2,4290,2106,2184
Cork County Council,3,4437,2177,2260
Cork County Council,4,4620,2262,2358
Cork County Council,5,4753,2347,2406
Cork County Council,6,5072,2434,2638
Cork County Council,7,5342,2605,2737
Cork County Council,8,5410,2625,2785
Cork County Council,9,5501,2699,2802
Cork County Council,10,5652,2831,2821
Cork County Council,11,5852,2873,2979
Cork County Council,12,5901,2829,3072
Cork County Council,13,5833,2897,2936
Cork County Council,14,5634,2779,2855
Cork County Council,15,5424,2629,2795
Cork County Council,16,5171,2562,2609
Cork County Council,17,5105,2431,2674
Cork County Council,18,4786,2343,2443
Cork County Council,19,4230,1971,2259
Cork County Council,20,3787,1783,2004
Cork County Council,21,3571,1700,1871
Cork County Council,22,3552,1720,1832
Cork County Council,23,3388,1603,1785
Cork County Council,24,3263,1559,1704
Cork County Council,25,3092,1502,1590
Cork County Council,26,3074,1562,1512
Cork County Council,27,3045,1519,1526
Cork County Council,28,3066,1552,1514
Cork County Council,29,3242,1639,1603
Cork County Council,30,3545,1873,1672
Cork County Council,31,3695,1970,1725
Cork County Council,32,3841,2050,1791
Cork County Council,33,3933,2023,1910
Cork County Council,34,4254,2216,2038
Cork County Council,35,4611,2430,2181
Cork County Council,36,4782,2584,2198
Cork County Council,37,4966,2611,2355
Cork County Council,38,5184,2723,2461
Cork County Council,39,5638,3007,2631
Cork County Council,40,5802,3058,2744
Cork County Council,41,5991,3058,2933
Cork County Council,42,6116,3210,2906
Cork County Council,43,5909,3056,2853
Cork County Council,44,5667,2889,2778
Cork County Council,45,5719,2853,2866
Cork County Council,46,5624,2841,2783
Cork County Council,47,5651,2850,2801
Cork County Council,48,5576,2756,2820
Cork County Council,49,5460,2769,2691
Cork County Council,50,5363,2655,2708
Cork County Council,51,5266,2582,2684
Cork County Council,52,5071,2516,2555
Cork County Council,53,4833,2381,2452
Cork County Council,54,4708,2383,2325
Cork County Council,55,4684,2229,2455
Cork County Council,56,4709,2345,2364
Cork County Council,57,4643,2305,2338
Cork County Council,58,4406,2176,2230
Cork County Council,59,4275,2109,2166
Cork County Council,60,4086,1978,2108
Cork County Council,61,4157,2073,2084
Cork County Council,62,3964,1916,2048
Cork County Council,63,3746,1861,1885
Cork County Council,64,3690,1828,1862
Cork County Council,65,3555,1718,1837
Cork County Council,66,3560,1762,1798
Cork County Council,67,3466,1783,1683
Cork County Council,68,3418,1691,1727
Cork County Council,69,3437,1724,1713
Cork County Council,70,3167,1560,1607
Cork County Council,71,3086,1568,1518
Cork County Council,72,2931,1449,1482
Cork County Council,73,2923,1491,1432
Cork County Council,74,2770,1357,1413
Cork County Council,75,2620,1303,1317
Cork County Council,76,2446,1297,1149
Cork County Council,77,2290,1189,1101
Cork County Council,78,1965,994,971
Cork County Council,79,1833,982,851
Cork County Council,80,1669,879,790
Cork County Council,81,1407,773,634
Cork County Council,82,1379,757,622
Cork County Council,83,1179,651,528
Cork County Council,84,1059,598,461
Cork County Council,85,1050,593,457
Cork County Council,86,923,511,412
Cork County Council,87,804,468,336
Cork County Council,88,690,427,263
Cork County Council,89,549,340,209
Cork County Council,90,475,282,193
Cork County Council,91,430,282,148
Cork County Council,92,304,211,93
Cork County Council,93,236,172,64
Cork County Council,94,153,110,43
Cork County Council,95,140,103,37
Cork County Council,96,84,66,18
Cork County Council,97,65,49,16
Cork County Council,98,47,40,7
Cork County Council,99,25,17,8
Cork County Council,100,54,43,11
Donegal County Council,-1,167084,84289,82795
Donegal County Council,1,3678,1799,1879
Donegal County Council,2,1971,983,988
Donegal County Council,3,2074,1044,1030
Donegal County Council,4,2089,1047,1042
Donegal County Council,5,2174,1095,1079
Donegal County Council,6,2224,1061,1163
Donegal County Council,7,2212,1075,1137
Donegal County Council,8,2319,1095,1224
Donegal County Council,9,2391,1169,1222
Donegal County Council,10,2510,1233,1277
Donegal County Council,11,2584,1254,1330
Donegal County Council,12,2624,1292,1332
Donegal County Council,13,2632,1255,1377
Donegal County Council,14,2610,1281,1329
Donegal County Council,15,2473,1202,1271
Donegal County Council,16,2441,1149,1292
Donegal County Council,17,2366,1130,1236
Donegal County Council,18,2285,1110,1175
Donegal County Council,19,1813,883,930
Donegal County Council,20,1805,864,941
Donegal County Council,21,1708,821,887
Donegal County Council,22,1731,861,870
Donegal County Council,23,1571,762,809
Donegal County Council,24,1557,736,821
Donegal County Council,25,1476,719,757
Donegal County Council,26,1507,735,772
Donegal County Council,27,1442,747,695
Donegal County Council,28,1475,761,714
Donegal County Council,29,1536,782,754
Donegal County Council,30,1694,906,788
Donegal County Council,31,1723,892,831
Donegal County Council,32,1863,936,927
Donegal County Council,33,1829,961,868
Donegal County Council,34,2023,1077,946
Donegal County Council,35,2016,1057,959
Donegal County Council,36,2112,1107,1005
Donegal County Council,37,2106,1115,991
Donegal County Council,38,2155,1119,1036
Donegal County Council,39,2358,1237,1121
Donegal County Council,40,2442,1293,1149
Donegal County Council,41,2487,1319,1168
Donegal County Council,42,2512,1288,1224
Donegal County Council,43,2427,1241,1186
Donegal County Council,44,2426,1245,1181
Donegal County Council,45,2428,1235,1193
Donegal County Council,46,2428,1189,1239
Donegal County Council,47,2322,1203,1119
Donegal County Council,48,2354,1203,1151
Donegal County Council,49,2397,1210,1187
Donegal County Council,50,2389,1204,1185
Donegal County Council,51,2301,1172,1129
Donegal County Council,52,2352,1157,1195
Donegal County Council,53,2284,1143,1141
Donegal County Council,54,2309,1165,1144
Donegal County Council,55,2208,1133,1075
Donegal County Council,56,2198,1136,1062
Donegal County Council,57,2226,1131,1095
Donegal County Council,58,2133,1055,1078
Donegal County Council,59,1981,1019,962
Donegal County Council,60,2055,1092,963
Donegal County Council,61,1941,996,945
Donegal County Council,62,1977,1033,944
Donegal County Council,63,1908,982,926
Donegal County Council,64,1819,916,903
Donegal County Council,65,1826,881,945
Donegal County Council,66,1775,881,894
Donegal County Council,67,1816,911,905
Donegal County Council,68,1711,844,867
Donegal County Council,69,1752,863,889
Donegal County Council,70,1640,803,837
Donegal County Council,71,1626,854,772
Donegal County Council,72,1518,755,763
Donegal County Council,73,1522,767,755
Donegal County Council,74,1465,715,750
Donegal County Council,75,1407,675,732
Donegal County Council,76,1344,681,663
Donegal County Council,77,1179,585,594
Donegal County Council,78,1115,562,553
Donegal County Council,79,991,489,502
Donegal County Council,80,902,446,456
Donegal County Council,81,840,441,399
Donegal County Council,82,744,379,365
Donegal County Council,83,707,367,340
Donegal County Council,84,623,351,272
Donegal County Council,85,551,317,234
Donegal County Council,86,434,266,168
Donegal County Council,87,433,256,177
Donegal County Council,88,339,208,131
Donegal County Council,89,310,172,138
Donegal County Council,90,248,154,94
Donegal County Council,91,207,136,71
Donegal County Council,92,148,94,54
Donegal County Council,93,130,89,41
Donegal County Council,94,88,62,26
Donegal County Council,95,91,63,28
Donegal County Council,96,48,34,14
Donegal County Council,97,27,21,6
Donegal County Council,98,15,11,4
Donegal County Council,99,18,13,5
Donegal County Council,100,33,31,2
Dublin City Council,-1,592713,300917,291796
Dublin City Council,1,11912,5787,6125
Dublin City Council,2,5830,2795,3035
Dublin City Council,3,5580,2705,2875
Dublin City Council,4,5624,2755,2869
Dublin City Council,5,5575,2782,2793
Dublin City Council,6,5813,2879,2934
Dublin City Council,7,5912,2891,3021
Dublin City Council,8,6086,2991,3095
Dublin City Council,9,5970,2930,3040
Dublin City Council,10,6174,3027,3147
Dublin City Council,11,6056,3003,3053
Dublin City Council,12,6284,3048,3236
Dublin City Council,13,6039,2975,3064
Dublin City Council,14,5748,2942,2806
Dublin City Council,15,5442,2729,2713
Dublin City Council,16,5408,2658,2750
Dublin City Council,17,5640,2734,2906
Dublin City Council,18,6434,3291,3143
Dublin City Council,19,7345,3676,3669
Dublin City Council,20,8103,4326,3777
Dublin City Council,21,8140,4237,3903
Dublin City Council,22,9091,4719,4372
Dublin City Council,23,9981,5142,4839
Dublin City Council,24,10592,5455,5137
Dublin City Council,25,11301,5667,5634
Dublin City Council,26,11664,5932,5732
Dublin City Council,27,11941,5976,5965
Dublin City Council,28,12020,6089,5931
Dublin City Council,29,12132,6030,6102
Dublin City Council,30,12341,6178,6163
Dublin City Council,31,12366,6079,6287
Dublin City Council,32,12044,5964,6080
Dublin City Council,33,11434,5700,5734
Dublin City Council,34,11048,5545,5503
Dublin City Council,35,10932,5444,5488
Dublin City Council,36,10619,5218,5401
Dublin City Council,37,10110,4902,5208
Dublin City Council,38,10136,5053,5083
Dublin City Council,39,9898,4939,4959
Dublin City Council,40,9770,4809,4961
Dublin City Council,41,9839,4926,4913
Dublin City Council,42,9325,4621,4704
Dublin City Council,43,8851,4393,4458
Dublin City Council,44,8370,4160,4210
Dublin City Council,45,7914,3898,4016
Dublin City Council,46,7704,3846,3858
Dublin City Council,47,7408,3607,3801
Dublin City Council,48,7478,3737,3741
Dublin City Council,49,7404,3703,3701
Dublin City Council,50,7474,3721,3753
Dublin City Council,51,7151,3584,3567
Dublin City Council,52,7116,3663,3453
Dublin City Council,53,6622,3291,3331
Dublin City Council,54,6752,3363,3389
Dublin City Council,55,6208,3133,3075
Dublin City Council,56,6376,3208,3168
Dublin City Council,57,6439,3273,3166
Dublin City Council,58,6309,3196,3113
Dublin City Council,59,6245,3205,3040
Dublin City Council,60,6026,3065,2961
Dublin City Council,61,5804,2975,2829
Dublin City Council,62,5647,2866,2781
Dublin City Council,63,5268,2642,2626
Dublin City Council,64,5080,2624,2456
Dublin City Council,65,5001,2545,2456
Dublin City Council,66,4694,2490,2204
Dublin City Council,67,4593,2399,2194
Dublin City Council,68,4204,2139,2065
Dublin City Council,69,4391,2244,2147
Dublin City Council,70,4105,2175,1930
Dublin City Council,71,3905,2042,1863
Dublin City Council,72,3853,2032,1821
Dublin City Council,73,3788,2057,1731
Dublin City Council,74,3632,1922,1710
Dublin City Council,75,3409,1789,1620
Dublin City Council,76,3195,1719,1476
Dublin City Council,77,2943,1633,1310
Dublin City Council,78,2846,1581,1265
Dublin City Council,79,2774,1554,1220
Dublin City Council,80,2408,1374,1034
Dublin City Council,81,2254,1332,922
Dublin City Council,82,2287,1368,919
Dublin City Council,83,2088,1242,846
Dublin City Council,84,1916,1177,739
Dublin City Council,85,1786,1109,677
Dublin City Council,86,1562,988,574
Dublin City Council,87,1417,908,509
Dublin City Council,88,1330,886,444
Dublin City Council,89,1066,712,354
Dublin City Council,90,885,614,271
Dublin City Council,91,778,534,244
Dublin City Council,92,624,455,169
Dublin City Council,93,447,322,125
Dublin City Council,94,362,264,98
Dublin City Council,95,265,194,71
Dublin City Council,96,200,142,58
Dublin City Council,97,115,87,28
Dublin City Council,98,81,57,24
Dublin City Council,99,64,49,15
Dublin City Council,100,100,80,20
Dún Laoghaire Rathdown County Council,-1,233860,121828,112032
Dún Laoghaire Rathdown County Council,1,4894,2380,2514
Dún Laoghaire Rathdown County Council,2,2489,1238,1251
Dún Laoghaire Rathdown County Council,3,2613,1309,1304
Dún Laoghaire Rathdown County Council,4,2658,1278,1380
Dún Laoghaire Rathdown County Council,5,2868,1426,1442
Dún Laoghaire Rathdown County Council,6,2879,1394,1485
Dún Laoghaire Rathdown County Council,7,2974,1469,1505
Dún Laoghaire Rathdown County Council,8,2985,1468,1517
Dún Laoghaire Rathdown County Council,9,3004,1550,1454
Dún Laoghaire Rathdown County Council,10,3035,1449,1586
Dún Laoghaire Rathdown County Council,11,3020,1484,1536
Dún Laoghaire Rathdown County Council,12,2991,1430,1561
Dún Laoghaire Rathdown County Council,13,2976,1432,1544
Dún Laoghaire Rathdown County Council,14,2917,1464,1453
Dún Laoghaire Rathdown County Council,15,2775,1383,1392
Dún Laoghaire Rathdown County Council,16,2733,1352,1381
Dún Laoghaire Rathdown County Council,17,2772,1398,1374
Dún Laoghaire Rathdown County Council,18,2938,1511,1427
Dún Laoghaire Rathdown County Council,19,3236,1659,1577
Dún Laoghaire Rathdown County Council,20,3277,1742,1535
Dún Laoghaire Rathdown County Council,21,3085,1605,1480
Dún Laoghaire Rathdown County Council,22,3242,1635,1607
Dún Laoghaire Rathdown County Council,23,3247,1681,1566
Dún Laoghaire Rathdown County Council,24,3169,1661,1508
Dún Laoghaire Rathdown County Council,25,3110,1578,1532
Dún Laoghaire Rathdown County Council,26,3065,1528,1537
Dún Laoghaire Rathdown County Council,27,2989,1518,1471
Dún Laoghaire Rathdown County Council,28,2869,1457,1412
Dún Laoghaire Rathdown County Council,29,2897,1466,1431
Dún Laoghaire Rathdown County Council,30,3112,1601,1511
Dún Laoghaire Rathdown County Council,31,3065,1555,1510
Dún Laoghaire Rathdown County Council,32,3165,1649,1516
Dún Laoghaire Rathdown County Council,33,3023,1581,1442
Dún Laoghaire Rathdown County Council,34,3044,1556,1488
Dún Laoghaire Rathdown County Council,35,3054,1548,1506
Dún Laoghaire Rathdown County Council,36,3188,1677,1511
Dún Laoghaire Rathdown County Council,37,3237,1694,1543
Dún Laoghaire Rathdown County Council,38,3445,1801,1644
Dún Laoghaire Rathdown County Council,39,3545,1878,1667
Dún Laoghaire Rathdown County Council,40,3646,1910,1736
Dún Laoghaire Rathdown County Council,41,3739,1944,1795
Dún Laoghaire Rathdown County Council,42,3690,1878,1812
Dún Laoghaire Rathdown County Council,43,3477,1812,1665
Dún Laoghaire Rathdown County Council,44,3246,1680,1566
Dún Laoghaire Rathdown County Council,45,3052,1609,1443
Dún Laoghaire Rathdown County Council,46,3152,1606,1546
Dún Laoghaire Rathdown County Council,47,3137,1627,1510
Dún Laoghaire Rathdown County Council,48,3184,1623,1561
Dún Laoghaire Rathdown County Council,49,3159,1604,1555
Dún Laoghaire Rathdown County Council,50,3101,1607,1494
Dún Laoghaire Rathdown County Council,51,2983,1513,1470
Dún Laoghaire Rathdown County Council,52,2933,1524,1409
Dún Laoghaire Rathdown County Council,53,2826,1494,1332
Dún Laoghaire Rathdown County Council,54,2788,1497,1291
Dún Laoghaire Rathdown County Council,55,2883,1549,1334
Dún Laoghaire Rathdown County Council,56,2691,1442,1249
Dún Laoghaire Rathdown County Council,57,2795,1500,1295
Dún Laoghaire Rathdown County Council,58,2756,1478,1278
Dún Laoghaire Rathdown County Council,59,2784,1499,1285
Dún Laoghaire Rathdown County Council,60,2658,1404,1254
Dún Laoghaire Rathdown County Council,61,2534,1344,1190
Dún Laoghaire Rathdown County Council,62,2470,1282,1188
Dún Laoghaire Rathdown County Council,63,2369,1260,1109
Dún Laoghaire Rathdown County Council,64,2304,1212,1092
Dún Laoghaire Rathdown County Council,65,2259,1226,1033
Dún Laoghaire Rathdown County Council,66,2193,1166,1027
